,CIK,Company Name,Date Filed,0,1,2,3,4,5,6,7,8,9
1119,861459,GRANITE CONSTRUCTION INC,2015-02-27,incom,loss,gaap,non,measur,compani,use,net,gain,ebitda
1140,887936,FTI CONSULTING INC,2015-02-03,gaap,fulli,consult,measur,fti,adjust,incom,charg,ep,net
1141,887936,FTI CONSULTING INC,2015-02-20,charg,adjust,fti,incom,loss,ebitda,measur,consult,segment,gaap
1142,887936,FTI CONSULTING INC,2015-02-24,ebitda,fti,consult,adjust,segment,incom,loss,measur,charg,gaap
1178,903127,POST PROPERTIES INC,2015-02-06,supplement,data,financi,entireti,quarterli,earn,post,period,decemb,registr
1206,910521,DECKERS OUTDOOR CORP,2015-01-29,common,suspend,repurchas,januari,stock,compani,program,discret,exhibit,act
1235,910606,REGENCY CENTERS CORP,2015-01-14,item,exhibit,regenc,center,januari,herein,event,preliminari,press,releas
1239,910606,REGENCY CENTERS CORP,2015-02-11,three,februari,regenc,decemb,websit,com,regencycent,month,year,post
1265,921112,LIBERTY PROPERTY TRUST,2015-02-03,pro,februari,registr,financi,exhibit,none,forma,transact,shell,current
1316,936395,CIENA CORP,2015-03-05,websit,first,ciena,call,januari,discuss,investor,com,corpor,text
1347,936528,WASHINGTON FEDERAL INC,2015-01-20,applic,sheet,fact,decemb,detail,januari,compani,financi,exhibit,certain
1365,945394,HOSPITALITY PROPERTIES TRUST,2015-02-27,supplement,financi,data,februari,oper,decemb,hospit,year,compani,quarter
1412,945764,DENBURY RESOURCES INC,2015-02-19,act,resourc,exhibit,exhibitsitem,dioxid,carbon,denburi,februari,ga,oil
1451,945841,POOL CORP,2015-02-12,guidanc,pool,corpor,provid,februari,fiscal,extent,delawar,releas,act
1485,1018003,INGRAM MICRO INC,2015-05-04,associ,view,micro,financi,relat,gaap,measur,ingram,non,exclud
1515,1025996,KILROY REALTY CORP,2015-04-29,realti,kilroy,act,inform,supplement,april,corpor,kilroyrealti,distribut,exchang
1524,103730,VISHAY INTERTECHNOLOGY INC,2015-05-05,stock,price,share,vishay,dilut,debentur,convert,ep,convers,averag
1551,1038074,SILICON LABORATORIES INC,2015-04-29,silicon,non,measur,laboratori,gaap,provid,inform,result,financi,april
1564,1056696,MANHATTAN ASSOCIATES INC,2015-04-21,adjust,measur,compens,incom,net,oper,acquisit,equiti,per,share
1602,1062449,BUFFALO WILD WINGS INC,2015-04-28,exhibitdescript,wing,exhibit,releas,press,buffalo,april,financi,wild,first
1638,1077771,UMPQUA HOLDINGS CORP,2015-04-15,april,act,slide,hold,umpqua,first,corpor,exchang,file,releas
1673,1128928,FLOWERS FOODS INC,2015-05-28,week,flower,food,may,exhibitnumb,inc,press,releas,exhibit,financi
1691,1143068,GREAT PLAINS ENERGY INC,2015-05-07,kcp,press,plain,inform,releas,great,energi,document,exhibit,registr
1727,1179929,MOLINA HEALTHCARE INC,2015-05-07,amend,first,cite,healthcar,molina,exhibitno,march,press,releas,act
1753,1265888,NEUSTAR INC,2015-04-29,neustar,first,act,april,announc,includ,exhibit,refer,call,releas
1762,1287865,MEDICAL PROPERTIES TRUST INC,2015-05-07,fund,gaap,medic,million,march,disclos,measur,trust,quarter,end
1801,18349,SYNOVUS FINANCIAL CORP,2015-04-21,pursuant,inform,document,current,exhibit,slide,act,supplement,file,april
1819,310142,SENSIENT TECHNOLOGIES CORP,2015-04-21,technolog,sensient,current,press,march,form,disclos,exhibit,corpor,releas
1828,33619,ESTERLINE TECHNOLOGIES CORP,2015-04-15,eclips,busi,manufactur,electron,certain,discontinu,reclassif,wallop,core,unit
1829,33619,ESTERLINE TECHNOLOGIES CORP,2015-06-04,supplement,releas,press,technolog,june,esterlin,financi,exhibit,regard,inform
1839,350797,EATON VANCE CORP,2015-05-20,date,six,describ,exhibit,news,registr,may,document,april,three
1853,355811,GENTEX CORP,2015-04-22,file,news,shall,gentex,form,section,exhibit,financi,attach,first
1886,46195,BANK OF HAWAII CORP,2015-04-20,hyperlink,hawaii,corpor,april,internet,bank,exhibit,public,address,intend
1910,52827,RAYONIER INC,2015-05-06,financi,item,oper,statement,result,condit,exhibit,,,
1928,67215,DYCOM INDUSTRIES INC,2015-05-20,may,gaap,measur,thomsen,compani,director,non,partner,board,appoint
1929,67215,DYCOM INDUSTRIES INC,2015-05-22,forward,may,compani,measur,gaap,non,transcript,confer,revenu,call
1947,70145,NATIONAL FUEL GAS CO,2015-05-01,chang,oil,ga,compani,obtain,project,natur,cost,rate,plan
1972,701811,MENTOR GRAPHICS CORP,2015-05-22,graphic,mentor,outlook,compani,first,second,commiss,quarter,full,fiscal
1983,706688,AARON'S INC,2015-04-24,measur,earn,segment,compani,present,aaron,gaap,financi,net,accord
