,CIK,Company Name,Form Type,Date Filed,Filename,Text
175316,730263,THOR INDUSTRIES INC,8-K,2015-11-30,edgar/data/730263/0001144204-15-068567.txt,
175317,730263,THOR INDUSTRIES INC,8-K,2015-12-09,edgar/data/730263/0001144204-15-070106.txt,
178735,768835,BIG LOTS INC,8-K,2015-12-08,edgar/data/768835/0000768835-15-000068.txt,
181210,794170,TOLL BROTHERS INC,8-K,2015-10-29,edgar/data/794170/0001193125-15-356623.txt,
181211,794170,TOLL BROTHERS INC,8-K,2015-10-30,edgar/data/794170/0001193125-15-360316.txt,
181212,794170,TOLL BROTHERS INC,8-K,2015-11-09,edgar/data/794170/0000794170-15-000048.txt,
181213,794170,TOLL BROTHERS INC,8-K,2015-12-08,edgar/data/794170/0000794170-15-000052.txt,
181378,795266,KB HOME,8-K,2015-10-13,edgar/data/795266/0000795266-15-000058.txt,
182122,800240,OFFICE DEPOT INC,8-K,2015-10-13,edgar/data/800240/0001193125-15-341951.txt,
182123,800240,OFFICE DEPOT INC,8-K,2015-10-30,edgar/data/800240/0001193125-15-360538.txt,
182124,800240,OFFICE DEPOT INC,8-K,2015-10-30,edgar/data/800240/0001193125-15-360548.txt,
182125,800240,OFFICE DEPOT INC,8-K,2015-11-03,edgar/data/800240/0001193125-15-363261.txt,
182126,800240,OFFICE DEPOT INC,8-K,2015-11-12,edgar/data/800240/0001193125-15-375893.txt,
182127,800240,OFFICE DEPOT INC,8-K,2015-11-25,edgar/data/800240/0001193125-15-388850.txt,
182128,800240,OFFICE DEPOT INC,8-K,2015-12-07,edgar/data/800240/0001193125-15-396659.txt,
200427,906163,NVR INC,8-K,2015-10-20,edgar/data/906163/0001144204-15-060070.txt,
201503,910521,DECKERS OUTDOOR CORP,8-K,2015-10-29,edgar/data/910521/0001144204-15-061562.txt,
201504,910521,DECKERS OUTDOOR CORP,8-K,2015-11-24,edgar/data/910521/0000910521-15-000045.txt,
202994,916789,HELEN OF TROY LTD,8-K,2015-10-15,edgar/data/916789/0001104659-15-070862.txt,
202995,916789,HELEN OF TROY LTD,8-K,2015-11-16,edgar/data/916789/0001104659-15-078933.txt,
202996,916789,HELEN OF TROY LTD,8-K,2015-11-17,edgar/data/916789/0001104659-15-079565.txt,
203429,919012,AMERICAN EAGLE OUTFITTERS INC,8-K,2015-11-06,edgar/data/919012/0001193125-15-370171.txt,
203430,919012,AMERICAN EAGLE OUTFITTERS INC,8-K,2015-12-02,edgar/data/919012/0001193125-15-393246.txt,
203431,919012,AMERICAN EAGLE OUTFITTERS INC,8-K,2015-12-08,edgar/data/919012/0001193125-15-397689.txt,
203432,919012,AMERICAN EAGLE OUTFITTERS INC,8-K,2015-12-21,edgar/data/919012/0001193125-15-409186.txt,
208307,945841,POOL CORP,8-K,2015-10-20,edgar/data/945841/0000945841-15-000120.txt,
208308,945841,POOL CORP,8-K,2015-10-22,edgar/data/945841/0000945841-15-000123.txt,
208309,945841,POOL CORP,8-K,2015-10-30,edgar/data/945841/0000945841-15-000135.txt,
208310,945841,POOL CORP,8-K,2015-11-20,edgar/data/945841/0000945841-15-000156.txt,
3140,1008654,TUPPERWARE BRANDS CORP,8-K,2016-01-25,edgar/data/1008654/0001008654-16-000029.txt,
3141,1008654,TUPPERWARE BRANDS CORP,8-K,2016-01-27,edgar/data/1008654/0001008654-16-000031.txt,
22704,1062449,BUFFALO WILD WINGS INC,8-K,2016-02-03,edgar/data/1062449/0001062449-16-000049.txt,
22705,1062449,BUFFALO WILD WINGS INC,8-K,2016-03-01,edgar/data/1062449/0001062449-16-000055.txt,
231259,24491,COOPER TIRE & RUBBER CO,8-K,2016-01-06,edgar/data/24491/0001144204-16-074359.txt,
231260,24491,COOPER TIRE & RUBBER CO,8-K,2016-02-11,edgar/data/24491/0001144204-16-080530.txt,
231261,24491,COOPER TIRE & RUBBER CO,8-K,2016-02-23,edgar/data/24491/0001144204-16-083749.txt,
231262,24491,COOPER TIRE & RUBBER CO,8-K,2016-02-23,edgar/data/24491/0001144204-16-083803.txt,
